City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Shymkent,KZ,2022-02-20 11:08:04,42.3,69.6,63.19,24,0,8.95
159,Huarmey,PE,2022-02-20 11:08:05,-10.0681,-78.1522,71.28,85,99,4.92
160,Hongjiang,CN,2022-02-20 11:08:05,27.11,109.9956,36.99,96,100,2.98
161,Saint-Philippe,RE,2022-02-20 11:08:05,-21.3585,55.7679,83.79,91,100,25.59
162,Sur,OM,2022-02-20 11:08:06,22.5667,59.5289,78.85,38,1,6.78
163,Mogadishu,SO,2022-02-20 11:08:06,2.0371,45.3438,84.06,64,12,22.93
164,Lodja,CD,2022-02-20 11:08:07,-3.4833,23.4333,78.64,69,97,2.71
165,Vila,PT,2022-02-20 11:08:07,42.0304,-8.1588,47.28,77,66,4.72
166,Santo Antonio Do Amparo,BR,2022-02-20 11:06:05,-20.9464,-44.9189,61.97,97,100,0.76
167,Bandarbeyla,SO,2022-02-20 11:08:07,9.4942,50.8122,78.64,65,94,16.04
168,Bambous Virieux,MU,2022-02-20 11:08:08,-20.3428,57.7575,84.45,79,75,32.21
169,Port Pirie,AU,2022-02-20 11:08:08,-33.1833,138.0167,66.99,65,81,12.39
170,Isabela,PH,2022-02-20 11:08:09,6.7085,121.9711,75.16,91,100,13.85
171,Hithadhoo,MV,2022-02-20 11:08:09,-0.6,73.0833,82.26,69,91,5.21
172,Phalodi,IN,2022-02-20 11:08:09,27.1333,72.3667,85.62,9,0,18.92
173,Nelson Bay,AU,2022-02-20 11:08:10,-32.7167,152.15,75.99,84,47,1.99
174,Norman Wells,CA,2022-02-20 11:08:10,65.282,-126.8329,-24.23,100,93,5.61
175,Chokurdakh,RU,2022-02-20 11:08:10,70.6333,147.9167,-39.91,100,76,2.84
176,Kousseri,CM,2022-02-20 11:08:11,12.0769,15.0306,84.83,9,35,14.72
177,Mocuba,MZ,2022-02-20 11:08:11,-16.8392,36.9856,82.65,80,100,4.12
178,Namibe,AO,2022-02-20 11:08:11,-15.1961,12.1522,82.31,66,66,10.96
179,Singapore,SG,2022-02-20 11:08:12,1.2897,103.8501,77.2,86,75,2.3
180,Hit,IQ,2022-02-20 11:09:12,33.6416,42.8251,62.53,58,80,22.53
181,Faanui,PF,2022-02-20 11:09:13,-16.4833,-151.75,81.63,72,54,19.04
182,Sitka,US,2022-02-20 11:09:13,57.0531,-135.33,37.29,87,100,3.44
183,Lagoa,PT,2022-02-20 11:07:38,39.05,-27.9833,55.56,59,100,8.03
184,Longyearbyen,SJ,2022-02-20 11:09:13,78.2186,15.6401,1.24,71,20,13.8
185,Zhigansk,RU,2022-02-20 11:09:14,66.7697,123.3711,-18.65,98,53,15.01
186,Suntar,RU,2022-02-20 11:09:14,62.1444,117.6319,-6.11,97,72,5.59
187,Lebu,CL,2022-02-20 11:09:14,-37.6167,-73.65,53.29,89,7,4.29
188,Davila,PH,2022-02-20 11:09:15,18.4726,120.5763,73.76,82,61,30.29
189,Tasiilaq,GL,2022-02-20 11:09:15,65.6145,-37.6368,14.16,71,100,8.57
190,Varkkallai,IN,2022-02-20 11:09:16,8.7341,76.7067,89.38,68,22,7.43
191,Ust-Ishim,RU,2022-02-20 11:09:16,57.6935,71.1665,22.51,83,100,8.55
192,Barranca,PE,2022-02-20 11:09:16,-10.75,-77.7667,70.21,85,100,4.72
193,Saldanha,ZA,2022-02-20 11:09:17,-33.0117,17.9442,66.51,70,26,10.87
194,Mount Gambier,AU,2022-02-20 11:09:17,-37.8333,140.7667,58.24,67,85,9.35
195,Tiksi,RU,2022-02-20 11:09:17,71.6872,128.8694,-21.08,97,42,5.44
196,Mahebourg,MU,2022-02-20 11:09:18,-20.4081,57.7,84.49,79,75,32.21
197,Alofi,NU,2022-02-20 11:09:18,-19.0595,-169.9187,81.16,76,14,13.94
198,Margate,GB,2022-02-20 11:09:19,51.3813,1.3862,53.74,77,100,11.01
199,Katsuura,JP,2022-02-20 11:09:19,35.1333,140.3,47.19,73,100,11.74
200,Dharchula,IN,2022-02-20 11:09:19,29.85,80.5333,56.91,47,78,3.38
201,Bay Roberts,CA,2022-02-20 11:06:06,47.5999,-53.2648,28.33,81,100,3.0
202,Necochea,AR,2022-02-20 11:09:20,-38.5473,-58.7368,65.03,82,100,7.07
203,Shwebo,MM,2022-02-20 11:09:20,22.5667,95.7,80.31,17,13,2.64
204,Vilya,RU,2022-02-20 11:09:21,55.2456,42.2089,33.49,100,100,10.45
205,Gamba,GA,2022-02-20 11:09:21,-2.65,10.0,83.89,67,91,4.65
206,Christchurch,NZ,2022-02-20 11:07:35,-43.5333,172.6333,57.9,77,75,8.05
207,Bontang,ID,2022-02-20 11:09:22,0.1333,117.5,75.38,92,100,9.24
208,Kavieng,PG,2022-02-20 11:09:22,-2.5744,150.7967,83.44,77,51,12.93
209,Tucurui,BR,2022-02-20 11:06:29,-3.7661,-49.6725,72.9,95,100,2.93
210,Roura,GF,2022-02-20 11:09:22,4.7263,-52.3274,73.31,94,75,1.14
211,Sola,VU,2022-02-20 11:09:23,-13.8833,167.55,82.35,74,100,8.75
212,Lompoc,US,2022-02-20 11:09:23,34.6391,-120.4579,53.92,92,100,8.01
213,Milkovo,RU,2022-02-20 11:09:24,54.7167,158.6167,4.93,97,100,1.99
214,Esqueda,MX,2022-02-20 11:09:24,30.7167,-109.5833,46.9,30,44,2.91
215,San Andres,CO,2022-02-20 11:09:24,12.5847,-81.7006,79.79,74,7,18.1
216,Luganville,VU,2022-02-20 11:09:25,-15.5333,167.1667,80.73,84,93,5.41
217,Salalah,OM,2022-02-20 11:05:23,17.0151,54.0924,80.69,54,40,10.36
218,Libertador General San Martin,AR,2022-02-20 11:09:25,-23.8064,-64.7876,72.93,88,39,2.26
219,Lapeer,US,2022-02-20 11:09:26,43.0514,-83.3188,18.25,62,0,10.36
220,Yarmouth,US,2022-02-20 11:09:26,41.7057,-70.2286,21.96,56,0,11.5
221,Polyarnyy,RU,2022-02-20 11:09:26,69.1989,33.4478,23.47,70,100,12.08
222,Ekhabi,RU,2022-02-20 11:09:27,53.5102,142.9671,9.5,93,66,12.06
223,Khasan,RU,2022-02-20 11:09:27,42.4308,130.6434,18.12,51,53,17.49
224,Rocha,UY,2022-02-20 11:08:44,-34.4833,-54.3333,68.04,85,83,6.89
225,De-Kastri,RU,2022-02-20 11:10:28,51.4667,140.7833,12.51,89,100,9.28
226,Beringovskiy,RU,2022-02-20 11:10:28,63.05,179.3167,-11.13,98,100,13.33
227,Grindavik,IS,2022-02-20 11:10:28,63.8424,-22.4338,34.27,69,0,26.46
228,Ancud,CL,2022-02-20 11:10:29,-41.8697,-73.8203,54.93,91,42,3.94
229,Nuevitas,CU,2022-02-20 11:06:07,21.5453,-77.2644,69.24,74,17,10.02
230,Lorengau,PG,2022-02-20 11:10:29,-2.0226,147.2712,80.89,83,99,5.82
231,Kurumkan,RU,2022-02-20 11:10:30,54.3,110.3,-10.35,92,45,4.76
232,Papara,BR,2022-02-20 11:10:30,-3.9839,-38.7273,80.69,83,43,3.67
233,Seminole,US,2022-02-20 11:10:11,28.7086,-81.2081,57.2,81,0,8.05
234,Nantucket,US,2022-02-20 11:09:17,41.2835,-70.0995,23.11,52,0,18.41
235,Bilgoraj,PL,2022-02-20 11:10:31,50.5411,22.722,41.67,62,100,16.35
236,Wanning,CN,2022-02-20 11:10:31,18.8003,110.3967,57.83,87,100,16.78
237,Iqaluit,CA,2022-02-20 11:10:31,63.7506,-68.5145,-32.31,66,77,5.01
238,Barcelos,PT,2022-02-20 11:10:32,41.5388,-8.6151,56.91,61,44,2.48
239,Sindor,RU,2022-02-20 11:10:32,62.8629,51.8905,31.15,96,100,10.56
240,Beruwala,LK,2022-02-20 11:10:32,6.4788,79.9828,83.68,70,20,10.11
241,Porto Walter,BR,2022-02-20 11:10:33,-8.2686,-72.7439,72.05,100,100,1.07
242,Bang Saphan,TH,2022-02-20 11:10:33,11.2126,99.5117,79.92,88,40,3.6
243,Manzhouli,CN,2022-02-20 11:10:34,49.6,117.4333,-11.52,98,78,6.33
244,Mantua,IT,2022-02-20 11:10:34,45.1667,10.7833,58.82,83,81,7.0
245,Guerrero Negro,MX,2022-02-20 11:10:34,27.9769,-114.0611,55.36,79,18,1.72
246,Lodwar,KE,2022-02-20 11:10:35,3.1191,35.5973,92.52,29,100,2.62
247,Yizheng,CN,2022-02-20 11:10:35,24.6706,103.4296,30.13,93,100,3.49
248,Mauguio,FR,2022-02-20 11:10:35,43.6181,4.0074,58.14,51,0,20.71
249,Burnie,AU,2022-02-20 11:10:36,-41.0667,145.9167,56.95,82,63,15.19
250,Coahuayana,MX,2022-02-20 11:10:36,18.7333,-103.6833,68.68,83,0,5.19
251,Sao Filipe,CV,2022-02-20 11:10:36,14.8961,-24.4956,71.2,63,59,12.17
252,Te Anau,NZ,2022-02-20 11:10:37,-45.4167,167.7167,49.96,90,22,0.85
253,Samarai,PG,2022-02-20 11:10:37,-10.6167,150.6667,83.7,77,100,3.91
254,Mapiripan,CO,2022-02-20 11:10:38,2.8892,-72.1256,72.36,64,6,4.34
255,Afrikanda,RU,2022-02-20 11:10:38,67.4429,32.7828,20.8,89,100,8.93
256,Touros,BR,2022-02-20 11:10:38,-5.1989,-35.4608,81.5,76,49,11.97
257,Bonthe,SL,2022-02-20 11:10:39,7.5264,-12.505,85.21,60,1,8.41
258,Peniche,PT,2022-02-20 11:10:39,39.3558,-9.3811,61.11,53,8,12.86
259,Beisfjord,NO,2022-02-20 11:10:39,68.3751,17.5988,24.85,82,100,6.85
260,Ornskoldsvik,SE,2022-02-20 11:10:40,63.2909,18.7153,25.75,80,63,3.44
261,Dukat,RU,2022-02-20 11:10:40,62.55,155.55,-37.91,100,33,4.14
262,Panaba,MX,2022-02-20 11:10:40,21.2833,-88.2667,69.55,96,5,5.91
263,Warwick,US,2022-02-20 11:10:41,41.7001,-71.4162,19.45,55,0,6.91
264,Ambulu,ID,2022-02-20 11:10:41,-8.345,113.6058,79.23,85,71,2.68
265,Alamogordo,US,2022-02-20 11:10:42,32.8995,-105.9603,47.57,47,89,4.36
266,Bogatynia,PL,2022-02-20 11:10:42,50.9075,14.9563,48.72,72,100,10.0
267,Okhotsk,RU,2022-02-20 11:10:42,59.3833,143.3,-1.77,89,100,5.41
268,Arman,RU,2022-02-20 11:10:43,59.7,150.1667,-10.98,82,58,9.26
269,Nome,US,2022-02-20 11:10:31,64.5011,-165.4064,1.47,67,0,10.36
270,Luderitz,NA,2022-02-20 11:10:43,-26.6481,15.1594,79.12,53,0,21.03
271,Baherden,TM,2022-02-20 11:11:44,38.4362,57.4316,65.68,22,89,4.21
272,Vila Franca Do Campo,PT,2022-02-20 11:11:44,37.7167,-25.4333,60.19,64,87,4.99
273,Minas,UY,2022-02-20 11:11:44,-34.3759,-55.2377,70.27,78,94,7.7
274,Nikki,BJ,2022-02-20 11:11:45,9.9401,3.2108,91.49,9,18,7.7
275,Toora-Khem,RU,2022-02-20 11:11:45,52.4675,96.11,8.1,97,97,1.45
276,Ostrovnoy,RU,2022-02-20 11:11:46,68.0531,39.5131,28.99,96,99,13.8
277,Inuvik,CA,2022-02-20 11:11:46,68.3499,-133.7218,-38.58,100,80,1.1
278,King City,US,2022-02-20 11:11:46,36.2127,-121.126,47.28,59,0,2.62
279,Bathsheba,BB,2022-02-20 11:11:47,13.2167,-59.5167,75.81,78,20,16.11
280,Yuzhno-Kurilsk,RU,2022-02-20 11:11:47,44.0306,145.8556,28.96,96,100,22.39
281,Muzhi,RU,2022-02-20 11:11:48,65.3667,64.6667,24.64,90,72,11.21
282,Cayenne,GF,2022-02-20 11:11:48,4.9333,-52.3333,73.44,92,75,3.0
283,Hualmay,PE,2022-02-20 11:11:48,-11.0964,-77.6139,70.43,86,100,6.62
284,Lata,PT,2022-02-20 11:11:49,40.1629,-8.3327,57.81,40,5,4.07
285,Summerville,US,2022-02-20 11:08:27,33.0185,-80.1757,44.8,52,20,8.05
286,Baykit,RU,2022-02-20 11:11:49,61.67,96.37,18.81,97,100,3.42
287,Rumonge,BI,2022-02-20 11:11:49,-3.9736,29.4386,70.07,93,100,2.8
288,Traralgon,AU,2022-02-20 11:11:50,-38.1833,146.5333,62.42,81,97,2.28
289,Kruisfontein,ZA,2022-02-20 11:11:50,-34.0033,24.7314,73.89,50,4,21.16
290,Nurota,UZ,2022-02-20 11:11:50,40.5614,65.6886,59.09,24,2,9.13
291,Isangel,VU,2022-02-20 11:11:51,-19.55,169.2667,79.47,85,100,8.19
292,Itaqui,BR,2022-02-20 11:11:51,-29.1253,-56.5531,80.69,29,48,8.23
293,Boyolangu,ID,2022-02-20 11:11:51,-8.1181,111.8935,79.0,85,78,3.15
